time,refrigerator
2011-04-20 03:17:23,192.0
2011-04-20 03:17:27,193.0
2011-04-20 03:17:30,192.0
2011-04-20 03:17:34,195.0
2011-04-20 03:17:37,195.0
2011-04-20 03:17:41,192.0
2011-04-20 03:17:44,192.0
2011-04-20 03:17:47,194.0
2011-04-20 03:17:51,195.0
2011-04-20 03:17:54,192.0
2011-04-20 03:17:58,191.0
2011-04-20 03:18:01,193.0
2011-04-20 03:18:04,195.0
2011-04-20 03:18:08,192.0
2011-04-20 03:18:11,192.0
2011-04-20 03:18:20,194.0
2011-04-20 03:18:24,194.0
2011-04-20 03:18:27,194.0
2011-04-20 03:18:30,189.0
2011-04-20 03:18:34,191.0
2011-04-20 03:18:37,191.0
2011-04-20 03:18:41,190.0
2011-04-20 03:18:44,193.0
2011-04-20 03:18:48,194.0
2011-04-20 03:18:51,192.0
2011-04-20 03:18:55,190.0
2011-04-20 03:18:58,191.0
2011-04-20 03:19:02,193.0
2011-04-20 03:19:05,194.0
2011-04-20 03:19:09,190.0
2011-04-20 03:19:17,190.0
2011-04-20 03:19:21,191.0
2011-04-20 03:19:24,192.0
2011-04-20 03:19:28,192.0
2011-04-20 03:19:31,190.0
2011-04-20 03:19:34,189.0
2011-04-20 03:19:38,191.0
2011-04-20 03:19:41,193.0
2011-04-20 03:19:45,191.0
2011-04-20 03:19:48,192.0
2011-04-20 03:19:52,192.0
2011-04-20 03:19:55,190.0
2011-04-20 03:19:58,188.0
2011-04-20 03:20:02,191.0
2011-04-20 03:20:05,192.0
2011-04-20 03:20:08,191.0
2011-04-20 03:20:17,190.0
2011-04-20 03:20:21,189.0
2011-04-20 03:20:24,188.0
2011-04-20 03:20:28,189.0
2011-04-20 03:20:31,192.0
2011-04-20 03:20:35,191.0
2011-04-20 03:20:38,190.0
2011-04-20 03:20:42,188.0
2011-04-20 03:20:45,190.0
2011-04-20 03:20:49,190.0
2011-04-20 03:20:52,191.0
2011-04-20 03:20:56,189.0
2011-04-20 03:20:59,187.0
2011-04-20 03:21:02,190.0
2011-04-20 03:21:06,188.0
2011-04-20 03:21:09,187.0
2011-04-20 03:21:18,191.0
2011-04-20 03:21:22,189.0
2011-04-20 03:21:25,187.0
2011-04-20 03:21:29,190.0
2011-04-20 03:21:32,189.0
2011-04-20 03:21:35,188.0
2011-04-20 03:21:39,187.0
2011-04-20 03:21:42,187.0
2011-04-20 03:21:46,189.0
2011-04-20 03:21:49,190.0
2011-04-20 03:21:53,189.0
2011-04-20 03:21:56,189.0
2011-04-20 03:22:00,186.0
2011-04-20 03:22:03,186.0
2011-04-20 03:22:07,187.0
2011-04-20 03:22:10,188.0
2011-04-20 03:22:19,190.0
2011-04-20 03:22:22,188.0
2011-04-20 03:22:25,186.0
2011-04-20 03:22:29,185.0
2011-04-20 03:22:32,187.0
2011-04-20 03:22:36,190.0
2011-04-20 03:22:39,185.0
2011-04-20 03:22:43,184.0
2011-04-20 03:22:46,185.0
2011-04-20 03:22:50,188.0
2011-04-20 03:22:53,189.0
2011-04-20 03:22:56,188.0
2011-04-20 03:23:00,187.0
2011-04-20 03:23:03,187.0
2011-04-20 03:23:07,185.0
2011-04-20 03:23:10,187.0
2011-04-20 03:23:19,186.0
2011-04-20 03:23:22,188.0
2011-04-20 03:23:26,188.0
2011-04-20 03:23:29,187.0
2011-04-20 03:23:33,187.0
2011-04-20 03:23:36,185.0
2011-04-20 03:23:40,184.0
2011-04-20 03:23:44,187.0
2011-04-20 03:23:47,186.0
2011-04-20 03:23:50,186.0
2011-04-20 03:23:54,187.0
2011-04-20 03:23:57,185.0
2011-04-20 03:24:01,186.0
2011-04-20 03:24:04,186.0
2011-04-20 03:24:08,188.0
2011-04-20 03:24:11,184.0
2011-04-20 03:24:20,184.0
2011-04-20 03:24:23,185.0
2011-04-20 03:24:27,185.0
2011-04-20 03:24:30,183.0
2011-04-20 03:24:34,184.0
2011-04-20 03:24:37,184.0
2011-04-20 03:24:41,187.0
2011-04-20 03:24:44,187.0
2011-04-20 03:24:47,187.0
2011-04-20 03:24:51,187.0
2011-04-20 03:24:54,185.0
2011-04-20 03:24:58,184.0
2011-04-20 03:25:01,184.0
2011-04-20 03:25:05,183.0
2011-04-20 03:25:08,185.0
2011-04-20 03:25:17,184.0
2011-04-20 03:25:20,186.0
2011-04-20 03:25:24,187.0
2011-04-20 03:25:27,186.0
2011-04-20 03:25:31,186.0
2011-04-20 03:25:34,184.0
2011-04-20 03:25:38,187.0
2011-04-20 03:25:41,187.0
2011-04-20 03:25:44,187.0
2011-04-20 03:25:48,186.0
2011-04-20 03:25:51,186.0
2011-04-20 03:25:55,184.0
2011-04-20 03:25:58,183.0
